elapsed_seconds,hr,hr_expected,hr_effective,drift_est,P_virtual,P_virtual_60s,speed_kmh_clean,grade_roll_120s,corr_active
145.0,138.54285714285714,146.9028119026655,138.54285714285714,0.0,74.82803985409129,69.74822248732296,24.798805714285713,-0.001669696600624249,0
150.0,138.6,146.89607087305458,138.6,0.0,75.78869600432927,70.66204355675694,24.91842857142857,-0.0017605164393751066,0
155.0,138.65714285714284,146.79995982485906,138.65714285714284,0.0,76.75805077488938,71.58433078550185,25.03805142857143,-0.001813858665311482,0
160.0,138.71428571428572,146.79430498069857,138.71428571428572,0.0,77.73614643141518,72.51512643920418,25.157674285714286,-0.0018465997675872119,0
165.0,138.77142857142857,146.73245799888394,138.77142857142857,0.0,78.72302523965217,73.45447278350551,25.277297142857144,-0.001872792641620739,0
170.0,138.82857142857142,146.72527510031932,138.82857142857142,0.0,79.71872946510832,74.40241208405486,25.39692,-0.001885889060181724,0
175.0,138.88571428571427,146.53903247379708,138.88571428571427,0.0,80.7233013735983,75.35898660649671,25.516542857142856,-0.0018858890237747645,0
180.0,138.94285714285715,146.4524404764387,138.94285714285715,0.0,81.73678323052665,76.32423861646626,25.636165714285713,-0.0018858889873684017,0
185.0,139.0,146.4524404764387,139.0,0.0,82.75921730177764,77.29821037961885,25.75578857142857,-0.001885888950961362,0
190.0,139.5,146.4524404764387,139.5,0.0,80.43582179422168,78.00137549003712,25.8156,-0.0019097280859554655,0
195.0,140.0,146.4524404764387,140.0,0.0,74.66036720558338,78.14535156115477,25.8156,-0.0019811214588844723,0
200.0,140.5,146.4524404764387,140.5,0.0,70.83428279444995,77.89187178913694,25.8579,-0.0020848898224066696,0
205.0,141.0,146.4524404764387,141.0,0.0,68.30632221688,77.34839531936933,25.8579,-0.0022103179427416008,0
210.0,140.5,146.60490554992984,140.5,0.0,62.76073449517416,76.26273186027306,25.8579,-0.0023779557587133423,0
215.0,140.0,146.86169960223378,140.0,0.0,55.48171935632548,74.48970424205942,26.0397,-0.002600758046493699,0
220.0,139.66666666666666,147.25357664491673,139.66666666666666,0.0,53.15704440530383,72.44144573988346,26.0397,-0.002842350267970016,0
225.0,139.33333333333334,147.25542103516582,139.33333333333334,0.0,54.557044668041854,70.42761402558261,26.0397,-0.003075918988492366,0
230.0,139.0,147.24661955319732,139.0,0.0,53.13540598832493,68.21233706918399,26.2998,-0.0033237216149880357,0
235.0,138.5,147.29619345980439,138.5,0.0,49.589852751248145,65.61788301732149,26.3547,-0.00360136987070034,0
240.0,138.0,147.29619345980439,138.0,0.0,49.703494367181555,62.948442278709386,26.3547,-0.0038826515109463785,0
245.0,137.5,147.29619345980439,137.5,0.0,52.80481118196556,60.45224176872504,26.4879,-0.004145926534500432,0
250.0,137.0,147.29619345980439,137.0,0.0,54.371280709520114,58.280196678333255,26.4879,-0.004402189457656779,0
255.0,139.0,147.2922801837902,139.0,0.0,58.95260271326879,56.9712163039737,26.974800000000002,-0.004634790072443238,0
260.0,140.0,147.3670811848937,140.0,0.0,54.160184049908565,55.58170807526191,27.3654,-0.004910905343802933,0
265.0,141.0,147.95791820069502,141.0,0.0,62.375161862164454,55.087444712368956,27.3654,-0.005139239470787216,0
270.0,141.5,147.9507572745834,141.5,0.0,63.115191921847426,55.11698283125838,27.3654,-0.005372127541376848,0
275.0,142.0,147.9507572745834,142.0,0.0,64.68342256932881,55.883791432342,27.1764,-0.005600843992356691,0
